Date,Normalized_Balance,dayofweek_sin,dayofweek_cos,balance_1d_ago,balance_7d_ago,balance_30d_ago,rolling_mean_7d,rolling_mean_30d,rolling_std_7d,rolling_std_30d,balance_changed
2023-12-29,0.18571128118085312,-0.433883739117558,-0.9009688679024191,0.024269040271283817,0.03021188684606179,0.44683241226144754,0.051577107954635125,0.421286810907873,0.059189061986105754,0.3093198967209311,1
2023-12-30,0.18571128118085312,-0.9749279121818236,-0.2225209339563146,0.18571128118085312,0.03021188684606179,0.4475423447132705,0.07379130714531959,0.4125591087901258,0.07648668684488975,0.3122336906835942,0
2023-12-31,0.18571128118085312,-0.7818314824680299,0.6234898018587334,0.18571128118085312,0.03021188684606179,0.4475423447132705,0.09600550633600406,0.4038314066723786,0.08393837003198702,0.31487038257729333,0
2024-01-01,0.00742588393751382,0.0,1.0,0.18571128118085312,0.03021188684606179,0.4475423447132705,0.09275036306335437,0.3891608579798533,0.0872900120444813,0.32291385203726813,1
2024-01-02,0.00742588393751382,0.7818314824680298,0.6234898018587336,0.00742588393751382,0.03021188684606179,0.4475423447132705,0.08949521979070466,0.3744903092873281,0.09038096337429224,0.3300879591100949,0
2024-01-03,0.00742588393751382,0.9749279121818236,-0.22252093395631434,0.00742588393751382,0.03021188684606179,0.4475423447132705,0.08624007651805495,0.3598197605948029,0.09323715448706688,0.3364483207866166,0
2024-01-04,0.00742588393751382,0.43388373911755823,-0.900968867902419,0.00742588393751382,0.024269040271283817,0.7895353365520188,0.08383391132751639,0.3337494455076528,0.09529755336420932,0.33227859273283583,0
2024-01-05,0.19724040353592243,-0.433883739117558,-0.9009688679024191,0.00742588393751382,0.18571128118085312,0.7895353365520188,0.08548092880681199,0.31400628107378287,0.09742756915094061,0.32169073798613973,1
2024-01-06,0.19724040353592243,-0.9749279121818236,-0.2225209339563146,0.19724040353592243,0.18571128118085312,0.7386942841047931,0.08712794628610761,0.2959578183881538,0.09948019515849238,0.3120877946963903,0
2024-01-07,0.19724040353592243,-0.7818314824680299,0.6234898018587334,0.19724040353592243,0.18571128118085312,0.7386942841047931,0.08877496376540321,0.2779093557025248,0.10146012848176157,0.3010626063952561,0
